有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,代號,公司名稱
1269　乾杯,TW0001269009,2016/08/29,興櫃,觀光餐旅,ESVUFR,1269,乾杯
1271　晨暉生技,TW0001271005,2021/01/18,興櫃,生技醫療業,ESVUFR,1271,晨暉生技
1293　利統,TW0001293009,2021/10/29,興櫃,食品工業,ESVUFR,1293,利統
1294　漢田生技,TW0001294007,2022/09/30,興櫃,食品工業,ESVUFR,1294,漢田生技
1295　生合,TW0001295004,2023/12/13,興櫃,食品工業,ESVUFR,1295,生合
1343　旭東環保,TW0001343002,2021/03/25,興櫃,綠能環保,ESVUFR,1343,旭東環保
1480　東盟開發,TW0001480002,2023/10/27,興櫃,鋼鐵工業,ESVUFR,1480,東盟開發
1563　巧新,TW0001563005,2006/10/26,興櫃,電機機械,ESVUFR,1563,巧新
1585　鎧鉅,TW0001585008,2007/05/02,興櫃,電子零組件業,ESVUFR,1585,鎧鉅
1594　日高,TW0001594000,2010/10/13,興櫃,電機機械,ESVUFR,1594,日高
1780　立弘,TW0001780005,2010/04/29,興櫃,生技醫療業,ESVUFR,1780,立弘
2071　震南鐵,TW0002071008,2019/09/23,興櫃,鋼鐵工業,ESVUFR,2071,震南鐵
2072　世紀風電,TW0002072006,2020/11/30,興櫃,鋼鐵工業,ESVUFR,2072,世紀風電
2237　華德動能,TW0002237005,2014/12/23,興櫃,電機機械,ESVUFR,2237,華德動能
2245　詠勝昌,TW0002245008,2016/12/15,興櫃,電機機械,ESVUFR,2245,詠勝昌
2248　華勝-KY,KYG8T24R1076,2018/09/11,興櫃,電機機械,ESVUFR,2248,華勝-KY
2249　湧盛,TW0002249000,2019/12/19,興櫃,電機機械,ESVUFR,2249,湧盛
2252　為昇科,TW0002252004,2021/08/23,興櫃,其他電子業,ESVUFR,2252,為昇科
2255　凱銳光電,TW0002255007,2021/11/30,興櫃,其他電子業,ESVUFR,2255,凱銳光電
2256　歐特明,TW0002256005,2021/12/08,興櫃,其他電子業,ESVUFR,2256,歐特明
2644　中信造船,TW0002644002,2022/10/11,興櫃,航運業,ESVUFR,2644,中信造船
2646　星宇航空,TW0002646007,2022/09/30,興櫃,航運業,ESVUFR,2646,星宇航空
2733　維格餅家,TW0002733003,2012/12/24,興櫃,觀光餐旅,ESVUFR,2733,維格餅家
2741　老四川,TW0002741006,2014/10/28,興櫃,觀光餐旅,ESVUFR,2741,老四川
2750　桃禧,TW0002750007,2018/08/08,興櫃,觀光餐旅,ESVUFR,2750,桃禧
2751　王座,TW0002751005,2023/06/30,興櫃,觀光餐旅,ESVUFR,2751,王座
2758　路易莎咖啡,TW0002758000,2021/09/17,興櫃,觀光餐旅,ESVUFR,2758,路易莎咖啡
2760　巨宇翔,TW0002760006,2022/12/26,興櫃,觀光餐旅,ESVUFR,2760,巨宇翔
2761　橘焱胡同,TW0002761004,2022/04/20,興櫃,觀光餐旅,ESVUFR,2761,橘焱胡同
